"","raceId","year","name_race","round","number","name_constructor","grid","position","positionText","positionOrder","points","status","constructorRef"
"264",1057,2021,"Azerbaijan Grand Prix",6,5,"Aston Martin",11,2,"2",2,18,"Finished","aston_martin"
"265",1059,2021,"French Grand Prix",7,5,"Aston Martin",12,9,"9",9,2,"Finished","aston_martin"
"266",1058,2021,"Styrian Grand Prix",8,5,"Aston Martin",14,12,"12",12,0,"+1 Lap","aston_martin"
"267",1060,2021,"Austrian Grand Prix",9,5,"Aston Martin",11,17,"17",17,0,"Collision","aston_martin"
"268",1061,2021,"British Grand Prix",10,5,"Aston Martin",8,NA,"R",19,0,"Retired","aston_martin"
"269",1062,2021,"Hungarian Grand Prix",11,5,"Aston Martin",10,NA,"D",20,0,"Disqualified","aston_martin"
"270",1063,2021,"Belgian Grand Prix",12,5,"Aston Martin",5,5,"5",5,5,"Finished","aston_martin"
"271",1064,2021,"Dutch Grand Prix",13,5,"Aston Martin",15,13,"13",13,0,"+2 Laps","aston_martin"
"272",1065,2021,"Italian Grand Prix",14,5,"Aston Martin",11,12,"12",12,0,"Finished","aston_martin"
"273",1066,2021,"Russian Grand Prix",15,5,"Aston Martin",10,12,"12",12,0,"+1 Lap","aston_martin"
"274",1067,2021,"Turkish Grand Prix",16,5,"Aston Martin",10,18,"18",18,0,"+1 Lap","aston_martin"
"275",1069,2021,"United States Grand Prix",17,5,"Aston Martin",18,10,"10",10,1,"+1 Lap","aston_martin"
"276",1070,2021,"Mexico City Grand Prix",18,5,"Aston Martin",9,7,"7",7,6,"+1 Lap","aston_martin"
"277",1071,2021,"São Paulo Grand Prix",19,5,"Aston Martin",9,11,"11",11,0,"+1 Lap","aston_martin"
"278",1051,2021,"Qatar Grand Prix",20,5,"Aston Martin",10,10,"10",10,1,"+1 Lap","aston_martin"
"279",1072,2021,"Saudi Arabian Grand Prix",21,5,"Aston Martin",17,NA,"R",16,0,"Collision damage","aston_martin"
"280",1073,2021,"Abu Dhabi Grand Prix",22,5,"Aston Martin",15,11,"11",11,0,"Finished","aston_martin"
"281",1076,2022,"Australian Grand Prix",3,5,"Aston Martin",17,NA,"R",19,0,"Accident","aston_martin"
"282",1077,2022,"Emilia Romagna Grand Prix",4,5,"Aston Martin",13,8,"8",8,4,"Finished","aston_martin"
"283",1078,2022,"Miami Grand Prix",5,5,"Aston Martin",0,17,"17",17,0,"Collision","aston_martin"
"284",1079,2022,"Spanish Grand Prix",6,5,"Aston Martin",16,11,"11",11,0,"+1 Lap","aston_martin"
"285",1080,2022,"Monaco Grand Prix",7,5,"Aston Martin",9,10,"10",10,1,"Finished","aston_martin"
"286",1081,2022,"Azerbaijan Grand Prix",8,5,"Aston Martin",9,6,"6",6,8,"Finished","aston_martin"
"287",1082,2022,"Canadian Grand Prix",9,5,"Aston Martin",16,12,"12",12,0,"Finished","aston_martin"
"288",1083,2022,"British Grand Prix",10,5,"Aston Martin",18,9,"9",9,2,"Finished","aston_martin"
"289",1084,2022,"Austrian Grand Prix",11,5,"Aston Martin",18,17,"17",17,0,"+1 Lap","aston_martin"
"290",1085,2022,"French Grand Prix",12,5,"Aston Martin",12,11,"11",11,0,"Finished","aston_martin"
"291",1086,2022,"Hungarian Grand Prix",13,5,"Aston Martin",18,10,"10",10,1,"+1 Lap","aston_martin"
"292",1087,2022,"Belgian Grand Prix",14,5,"Aston Martin",10,8,"8",8,4,"Finished","aston_martin"
"293",1088,2022,"Dutch Grand Prix",15,5,"Aston Martin",19,14,"14",14,0,"Finished","aston_martin"
"294",1089,2022,"Italian Grand Prix",16,5,"Aston Martin",11,NA,"R",20,0,"Engine","aston_martin"
"295",1091,2022,"Singapore Grand Prix",17,5,"Aston Martin",13,8,"8",8,4,"Finished","aston_martin"
"296",1092,2022,"Japanese Grand Prix",18,5,"Aston Martin",9,6,"6",6,8,"Finished","aston_martin"
"297",1093,2022,"United States Grand Prix",19,5,"Aston Martin",10,8,"8",8,4,"Finished","aston_martin"
"298",1094,2022,"Mexico City Grand Prix",20,5,"Aston Martin",16,14,"14",14,0,"+1 Lap","aston_martin"
"299",1095,2022,"Brazilian Grand Prix",21,5,"Aston Martin",9,11,"11",11,0,"Finished","aston_martin"
